자치구,행정동,CNG,LNG,경유,기타연료,수소,엘피지,전기,하이브리드,휘발유,합계,시군구명_x,행정동코드,읍면동명_x,생성일자_x,말소일자_x,시군구명_y,읍면동명_y,법정동코드,동리명,생성일자_y,말소일자_y
강남구,개포1동,124,0,2641,17,5,296,234,1126,5991,10434,강남구,1168066000,개포1동,19880423,,강남구,개포1동,1168010200,포이동,19880423,19880630
강남구,개포2동,38,0,3601,22,23,552,443,1761,9216,15656,강남구,1168067000,개포2동,19880423,,강남구,개포2동,1168010300,개포동,19880423,
강남구,개포3동,0,0,1007,6,8,212,74,363,2668,4338,강남구,1168067500,개포3동,20221223,,강남구,개포3동,1168010300,개포동,20221223,
강남구,개포4동,1,0,2481,14,11,349,188,740,4779,8563,강남구,1168069000,개포4동,19880701,,강남구,개포4동,1168010200,포이동,19880701,20080101
강남구,논현1동,1,0,3177,31,8,346,236,687,5385,9871,강남구,1168052100,논현1동,19921001,,강남구,논현1동,1168010800,논현동,19921001,
강남구,논현2동,0,0,3440,29,6,326,215,724,6038,10778,강남구,1168053100,논현2동,19921001,,강남구,논현2동,1168010800,논현동,19921001,
강남구,논현동,0,0,0,0,0,0,0,0,1,1,강남구,1168052000,논현동,19880423,19921001,강남구,논현동,1168010800,논현동,19880423,19921001
강남구,대치1동,12,0,3118,25,35,301,5532,1580,8027,18630,강남구,1168060000,대치1동,19880423,,강남구,대치1동,1168010600,대치동,19880423,
강남구,대치2동,6,0,3361,20,12,396,1677,1557,10546,17575,강남구,1168061000,대치2동,19880423,,강남구,대치2동,1168010600,대치동,19880423,
강남구,대치4동,1,0,1850,10,10,251,1622,791,7175,11710,강남구,1168063000,대치4동,19880701,,강남구,대치4동,1168010600,대치동,19880701,
강남구,도곡1동,0,0,2201,74,19,243,158,733,5030,8458,강남구,1168065500,도곡1동,19890101,,강남구,도곡1동,1168011800,도곡동,19890101,
강남구,도곡2동,0,0,3251,76,9,167,306,1434,8376,13619,강남구,1168065600,도곡2동,19890101,,강남구,도곡2동,1168011800,도곡동,19890101,
강남구,삼성1동,14,0,2494,70,14,284,245,662,4685,8468,강남구,1168058000,삼성1동,19880423,,강남구,삼성1동,1168010500,삼성동,19880423,
강남구,삼성2동,0,0,3236,22,5,259,306,1026,7285,12139,강남구,1168059000,삼성2동,19880423,,강남구,삼성2동,1168010500,삼성동,19880423,
강남구,세곡동,2,0,5568,56,24,1638,486,1494,9787,19055,강남구,1168070000,세곡동,19880423,,강남구,세곡동,1168011100,세곡동,19880423,
강남구,수서동,0,0,1864,3,4,463,109,417,2685,5545,강남구,1168075000,수서동,19921001,,강남구,수서동,1168011500,수서동,19921001,
강남구,신사동,0,0,2107,14,8,151,160,806,4545,7791,강남구,1168051000,신사동,19880423,,강남구,신사동,1168010700,신사동,19880423,
강남구,압구정동,0,0,2991,14,9,239,293,1289,7101,11936,강남구,1168001100,압구정동,19880423,19880630,강남구,압구정동,1168010700,신사동,19880423,19880630
강남구,역삼1동,4,0,5399,48,9,719,835,2226,9941,19181,강남구,1168064000,역삼1동,19880423,,강남구,역삼1동,1168010100,역삼동,19880423,
강남구,역삼2동,0,0,4466,36,24,402,425,1435,9072,15860,강남구,1168065000,역삼2동,19880423,,강남구,역삼2동,1168010100,역삼동,19880423,
강남구,일원1동,1,0,1295,6,8,661,178,290,2223,4662,강남구,1168073000,일원1동,19921001,,강남구,일원1동,1168011400,일원동,19921001,
강남구,일원2동,0,0,192,0,0,636,109,44,218,1199,강남구,1168074000,일원2동,19921001,20221223,강남구,일원2동,1168010300,개포동,19921001,20221223
강남구,일원본동,0,0,2108,11,13,498,152,888,4868,8538,강남구,1168072000,일원본동,19921001,,강남구,일원본동,1168011400,일원동,19921001,
강남구,청담동,4,0,3290,32,5,223,296,933,6826,11609,강남구,1168050200,청담동,19880423,19880630,강남구,청담동,1168010400,청담동,19880423,19880831
강동구,강일동,147,0,4060,27,27,1387,321,801,6317,13087,강동구,1174051500,강일동,20000101,,강동구,강일동,1174010300,상일동,20000101,20210701
강동구,고덕1동,1,0,2429,33,21,425,199,840,4662,8610,강동구,1174055000,고덕제1동,19880501,,강동구,고덕제1동,1174010200,고덕동,19880423,
강동구,고덕2동,0,0,2591,27,22,471,224,781,4659,8775,강동구,1174056000,고덕제2동,19880501,,강동구,고덕제2동,1174010200,고덕동,19880423,
강동구,길1동,0,0,1,0,0,0,0,0,0,1,강동구,1174067000,길제1동,19880501,20080707,강동구,길제1동,1174010500,길동,19880423,20080707
강동구,길동,1,0,4890,27,20,2240,488,910,7221,15797,강동구,1174068500,길동,20080707,,강동구,길동,1174010500,길동,20080707,
강동구,둔촌1동,0,0,186,0,0,318,15,12,122,653,강동구,1174069000,둔촌제1동,19880423,,강동구,둔촌제1동,1174010600,둔촌동,19880423,
강동구,둔촌2동,0,0,2523,16,7,590,109,607,4292,8144,강동구,1174070000,둔촌제2동,19880423,,강동구,둔촌제2동,1174010500,길동,19880423,20070501
강동구,명일1동,0,0,2322,23,15,565,135,682,4552,8294,강동구,1174053000,명일제1동,19880501,,강동구,명일제1동,1174010100,명일동,19880501,
강동구,명일2동,1,0,1475,12,10,293,85,543,3354,5773,강동구,1174054000,명일제2동,19880423,,강동구,명일제2동,1174010100,명일동,19880423,
강동구,상일동,0,0,2292,15,22,401,57,496,4136,7419,강동구,1174052000,상일동,19880423,20210701,강동구,상일동,1174010300,상일동,19880423,20210701
강동구,상일제1동,1,0,1732,31,19,342,321,924,3781,7151,강동구,1174052500,상일제1동,20210701,,강동구,상일제1동,1174010300,상일동,20210701,
강동구,상일제2동,0,0,687,4,7,165,55,159,1076,2153,강동구,1174052600,상일제2동,20210701,,강동구,상일제2동,1174010300,상일동,20210701,
강동구,성내1동,0,0,2839,20,15,583,114,548,4030,8149,강동구,1174064000,성내제1동,19880423,,강동구,성내제1동,1174010800,성내동,19880423,
강동구,성내2동,11,0,2210,6,17,544,146,369,3149,6452,강동구,1174065000,성내제2동,19880423,,강동구,성내제2동,1174010800,성내동,19880423,
강동구,성내3동,3,0,2253,12,7,525,110,403,3483,6796,강동구,1174066000,성내제3동,19880423,,강동구,성내제3동,1174010800,성내동,19880423,
강동구,암사1동,2,0,3376,12,8,1027,139,602,5087,10253,강동구,1174057000,암사제1동,19880423,,강동구,암사제1동,1174010700,암사동,19880423,
강동구,암사2동,0,0,1454,14,3,340,111,371,2667,4960,강동구,1174058000,암사제2동,19880423,,강동구,암사제2동,1174010700,암사동,19880423,
강동구,암사3동,0,0,1688,19,6,334,81,583,3486,6197,강동구,1174059000,암사제3동,19880423,,강동구,암사제3동,1174010700,암사동,19880423,
강동구,천호1동,1,0,3237,29,14,865,106,430,3959,8641,강동구,1174060000,천호제1동,19880423,,강동구,천호제1동,1174010900,천호동,19880423,
강동구,천호2동,0,0,3267,24,12,849,120,571,4753,9596,강동구,1174061000,천호제2동,19880423,,강동구,천호제2동,1174000300,풍납동,19880423,19880423
강동구,천호3동,3,0,2317,12,7,561,126,503,4030,7559,강동구,1174062000,천호제3동,19880423,,강동구,천호제3동,1174010900,천호동,19880423,
강동구,하일동,0,0,5,0,0,1,0,0,1,7,강동구,1174051000,하일동,19880423,19991231,강동구,하일동,1174010300,상일동,19880423,19991231
강북구,미아동,1,0,1675,1,3,413,70,225,2340,4728,강북구,1130553500,미아동,20080630,,강북구,미아동,1130510100,미아동,20080630,
강북구,번1동,7,0,1453,8,2,556,69,177,2075,4347,강북구,1130559500,번1동,20190101,,강북구,번1동,1130510200,번동,20190101,
강북구,번2동,32,0,1213,5,1,398,81,152,1721,3603,강북구,1130560300,번2동,20190101,,강북구,번2동,1130510200,번동,20190101,
